"","lon","lat","ubc_mat","ubc_map","ubc_cmd","elevuse_m","ci_rng"
"103",-105.47732,32.71962,10,521,723,2134,5.86
"104",-105.58684,32.85756,9.2,557,641,2256,3.78833333333333
"105",-105.48673,32.99086,9.7,554,659,2164,2.86028571428571
"106",-105.75004,32.89846,7.2,721,348,2652,4.60064285714286
"107",-107.67435,32.73227,12.8,443,918,1829,6.25414285714286
"108",-108.39114,32.42088,13.4,362,1056,1693,6.108
"109",-108.54765,32.69825,11.9,422,920,1951,3.39675
"110",-108.54715,32.92367,13.8,378,1135,1454,5.28514285714286
"111",-109.82913,32.62397,9.4,766,334,2662,3.8262
"112",-109.82113,32.71536,11.8,713,449,2132,7.425
"113",-110.09866,32.35511,12.8,633,654,2017,3.72625
"114",-110.57996,32.26705,16.9,515,912,1332,7.7775
"115",-110.30472,32.62895,12.7,520,680,2010,0.859999999999999
"116",-110.40808,32.80592,16.8,458,956,1301,6.156
"117",-110.94927,32.75987,16.8,521,845,1433,5.23714285714286
"118",-79.27686,33.71708,17.5,1277,194,30,3.56842307692308
"119",-79.89238,33.61396,17.3,1243,261,30,2.77677777777778
"120",-80.63084,33.1137,18,1232,270,30,1.54578571428572
"121",-80.54133,33.33799,18,1232,256,25,2.87175
"122",-80.72021,33.51062,12.5,1435,0,1585,3.6186
"123",-80.81675,33.96293,17,1191,324,91,4.92481818181818
"124",-81.58,33.40205,17.5,1204,345,91,3.0824375
"125",-81.47768,33.63998,17.1,1211,330,121,3.92179166666667
"126",-82.24223,33.04914,17.9,1190,386,30,6.016
"127",-82.4915,33.24039,17.3,1202,370,122,3.67
"128",-82.07394,33.50774,17.1,1209,367,91,6.916
"129",-82.55233,33.64828,16.7,1230,354,152,2.9494375
"130",-82.47213,33.92585,16.4,1225,365,152,5.056875
"131",-83.82954,33.03577,17.4,1217,409,152,3.71483333333333
"132",-83.35771,33.13995,17.3,1196,394,152,2.2603
"133",-83.82461,33.28784,17.2,1243,370,152,3.7029
"134",-83.19,33.36637,17.1,1221,367,152,3.41102941176471
"135",-83.21804,33.57701,16.6,1245,341,213,9.14
"136",-82.9974,33.8343,16.4,1272,330,152,3.8466875
"137",-83.73232,33.78238,15.9,1352,248,274,3.5515
"138",-83.4618,33.97834,16.1,1290,298,213,3.78257142857143
"139",-84.96257,33.04223,16.8,1368,327,213,2.2345
"140",-84.05487,33.50553,16.5,1293,320,213,2.91026923076923
"141",-85.03054,33.71359,15.5,1377,275,335,3.68866666666666
"142",-84.76638,33.79247,15.4,1387,247,335,1.2925
"143",-84.15007,33.899,15.4,1381,227,274,4.52666666666667
"144",-85.46369,33.22021,15.9,1418,305,274,4.544
"145",-85.35422,33.46575,15.7,1398,297,274,1.78358333333333
"146",-85.26824,33.63931,15.3,1400,272,335,5.34571428571428
"147",-121.35552,42.98552,4.6,929,390,1995,0.6269375
"148",-85.24015,33.89626,15.5,1376,289,274,4.35786363636364
